test_id;Question;SPARQL query;Extracted_properties_str;Predicted SPARQL query;Predicted_extracted_properties_str;Property_correctness_score;All_properties_with_labels;Property_precision;Property_recall;Property_f1_score;Property_f1_percent;semantic_correct;execution_score;case_type
test_0;Which distinct items are subclasses of execution methods or the subclasses of those, and so on?;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?class WHERE { ?class wdt:P279 + wd:Q15169167 . };P279;"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
SELECT DISTINCT ?item ?itemLabel WHERE {
  ?item wdt:P279 + wd:Q15169167 .
  OPTIONAL {
    ?item rdfs:label ?itemLabel .
    FILTER ( LANG( ?itemLabel ) = ""en"" )
  }
}
ORDER BY ?itemLabel";P279;1;P279=subclass of;1.0;1.0;1.0;100.0;True;1.0;SAME_PROP_SAME_RESULT
test_4;Which distinct movies were directed by Steven Spielberg, along with their titles and the earliest year of publication, sorted by year?;"PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?movie ?movieLabel ( min ( ?year ) as ?myear ) WHERE { ?movie wdt:P31 / wdt:P279 * wd:Q11424 . ?movie wdt:P57 wd:Q8877 . ?movie wdt:P577 ?date . BIND ( year ( ?date ) as ?year ) SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"" . } } group by ?movie ?movieLabel ORDER BY ?year";P31, P279, P57, P577;"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
SELECT ?film ( SAMPLE( ?filmLabel ) AS ?title ) ( YEAR( MIN( ?date ) ) AS ?year ) WHERE {
  ?film wdt:P57 wd:Q8877 .
  ?film wdt:P31 / wdt:P279 * wd:Q11424 .
  ?film wdt:P577 ?date .
  OPTIONAL {
    ?film rdfs:label ?filmLabel FILTER ( LANG( ?filmLabel ) = ""en"" )
  }
}
GROUP BY ?film
ORDER BY ?year ?title";P57, P31, P279, P577;1;P31=instance of, P279=subclass of, P57=director, P577=publication date;1.0;1.0;1.0;100.0;True;1.0;SAME_PROP_SAME_RESULT
test_34;Which distinct items are subclasses, at any level, of a manuscript (a document written by hand)?;PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?item WHERE { ?item p:P279 ?statement0 . ?statement0 ( ps:P279 / ( wdt:P279 * ) ) wd:Q87167 . };P279;"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
SELECT DISTINCT ?item ?itemLabel WHERE {
  ?item wdt:P279 * wd:Q87167 .
  FILTER ( ?item != wd:Q87167 ) OPTIONAL {
    ?item rdfs:label ?itemLabel .
    FILTER ( LANG( ?itemLabel ) = ""en"" )
  }
}
ORDER BY ?item";P279;1;P279=subclass of;1.0;1.0;1.0;100.0;True;1.0;SAME_PROP_SAME_RESULT
test_69;Who were the top 100 people with the highest Elo ratings in January 2023? Please include their Elo rating, and order by their Elo rating in descending order.;"SELECT ?item ?time ?elo WHERE 
{ 
  ?item wdt:P31 wd:Q5; 
        p:P1087 [ ps:P1087 ?elo; pqv:P585/wikibase:timeValue ?time ] . 
  FILTER (YEAR(?time) = 2023 && MONTH(?time) = 1) . 
} ORDER BY DESC(?elo) LIMIT 100
";P31;"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX p: <http://www.wikidata.org/prop/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
PREFIX ps: <http://www.wikidata.org/prop/statement/>
PREFIX pq: <http://www.wikidata.org/prop/qualifier/>
SELECT ?person ?personLabel ?elo ?date WHERE {
  ?person wdt:P31 wd:Q5 ; p:P1087 ?statement .
  ?statement ps:P1087 ?elo ; pq:P585 ?date .
  FILTER ( ?date >= ""2023-01-01T00:00:00Z"" ^^ xsd:dateTime && ?date < ""2023-02-01T00:00:00Z"" ^^ xsd:dateTime ) OPTIONAL {
    ?person rdfs:label ?personLabel .
    FILTER ( LANG( ?personLabel ) = ""en"" )
  }
}
ORDER BY DESC ( xsd:decimal ( ?elo ) )
LIMIT 100";P31;1;P31=instance of;1.0;1.0;1.0;100.0;True;1.0;SAME_PROP_SAME_RESULT
test_75;"Which items have a formatter URL that includes ""web.archive.org""?";"PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT ?item ?fURL WHERE { ?item wdt:P1630 ?fURL . filter ( contains ( ?fURL , ""web.archive.org"" ) ) }";P1630;"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
SELECT ?item ?itemLabel ?url WHERE {
  ?item wdt:P1630 ?url .
  FILTER ( CONTAINS( LCASE( STR( ?url ) ) , ""web.archive.org"" ) ) OPTIONAL {
    ?item rdfs:label ?itemLabel .
    FILTER ( LANG( ?itemLabel ) = ""en"" )
  }
}
ORDER BY ?item
LIMIT 1000";P1630;1;P1630=formatter URL;1.0;1.0;1.0;100.0;True;1.0;SAME_PROP_SAME_RESULT
test_1;Which humans who were born in Australia or in any administrative territorial entity within Australia do not have a specified sex or gender?;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item WHERE { ?item wdt:P19 / wdt:P131 * wd:Q408 . ?item wdt:P31 wd:Q5 . FILTER ( NOT EXISTS { ?item wdt:P21 _:b1 . } ) };P19, P131, P31, P21;"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
SELECT DISTINCT ?person ?personLabel ?place ?placeLabel WHERE {
  ?person wdt:P31 wd:Q5 .
  ?person wdt:P19 ?place .
  FILTER NOT EXISTS {
    ?person wdt:P21 ?sex .
  }
  {
    FILTER ( ?place = wd:Q408 )
  } UNION {
    ?place wdt:P17 wd:Q408 .
  } UNION {
    ?place wdt:P131 + ?admin .
    ?admin wdt:P17 wd:Q408 .
  }
  OPTIONAL {
    ?person rdfs:label ?personLabel .
    FILTER ( LANG( ?personLabel ) = ""en"" )
  }
  OPTIONAL {
    ?place rdfs:label ?placeLabel .
    FILTER ( LANG( ?placeLabel ) = ""en"" )
  }
}";P31, P19, P21, P17, P131;0;P19=place of birth, P131=located in the administrative territorial entity, P31=instance of, P21=sex or gender, P17=country;0.8;1.0;0.888888888888889;88.89;False;0.0;DIFF_PROP_DIFF_RESULT
test_3;What are the names, average latitudes, average longitudes, and average populations of municipalities in Austria that are still in existence, with labels in German?;"PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX psv: <http://www.wikidata.org/prop/statement/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?itemLabel ( AVG ( ?item_lat ) AS ?lat ) ( AVG ( ?item_long ) AS ?long ) ( AVG ( ?Einwohnerzahl ) AS ?pop ) WHERE { ?item p:P31 ?statement . ?statement ps:P31 wd:Q667509 . filter not exists { ?statement pq:P582 [] . } ?item rdfs:label ?itemLabel . ?item ( p:P625 / psv:P625 ) ?item_node . ?item_node wikibase:geoLatitude ?item_lat . ?item_node wikibase:geoLongitude ?item_long . ?item wdt:P1082 ?Einwohnerzahl . FILTER ( ( LANG ( ?itemLabel ) ) = ""de"" ) } GROUP BY ?itemLabel ORDER BY ?itemLabel";P1082;"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX p: <http://www.wikidata.org/prop/>
PREFIX geof: <http://www.opengis.net/def/function/geosparql/>
PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
PREFIX ps: <http://www.wikidata.org/prop/statement/>
SELECT ?municipality ?municipalityLabel ( AVG( ?lat ) AS ?avgLat ) ( AVG( ?lon ) AS ?avgLon ) ( AVG( ?pop ) AS ?avgPop ) WHERE {
  ?municipality wdt:P31 / wdt:P279 * wd:Q667509 .
  FILTER NOT EXISTS {
    ?municipality wdt:P31 wd:Q19347965
  }
  FILTER NOT EXISTS {
    ?municipality p:P576 ?diss
  }
  OPTIONAL {
    ?municipality wdt:P625 ?coord .
    BIND( geof:latitude ( ?coord ) AS ?lat ) BIND( geof:longitude ( ?coord ) AS ?lon )
  }
  OPTIONAL {
    ?municipality p:P1082 ?popStmt .
    ?popStmt ps:P1082 ?pop .
  }
  ?municipality rdfs:label ?municipalityLabel .
  FILTER ( LANG( ?municipalityLabel ) = ""de"" )
}
GROUP BY ?municipality ?municipalityLabel
ORDER BY ?municipalityLabel";P31, P279, P625;0;P1082=population, P31=instance of, P279=subclass of, P625=coordinate location;0.0;0.0;0.0;0.0;False;0.0;DIFF_PROP_DIFF_RESULT
test_6;Who are the distinct candidates for the Mayor of Germasogeia Municipality Elections?;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?item WHERE { ?election wdt:P31 wd:Q93306595 . ?election wdt:P726 ?item . };P31, P726;"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
SELECT DISTINCT ?candidate ?candidateLabel WHERE {
  ?election wdt:P1001 wd:Q349340 ; wdt:P541 wd:Q54865660 ; wdt:P726 ?candidate .
  OPTIONAL {
    ?candidate rdfs:label ?candidateLabel FILTER ( LANG( ?candidateLabel ) = ""en"" )
  }
}
ORDER BY ?candidateLabel";P1001, P541, P726;0;P31=instance of, P726=candidate, P1001=applies to jurisdiction, P541=office contested;0.3333333333333333;0.5;0.4;40.0;False;0.9411764705882352;DIFF_PROP_DIFF_RESULT
test_7;What are the distinct audiovisual works that are based on, inspired by, or were written by Jane Austen?;"SELECT DISTINCT ?item
with { select ?item where
{
    hint:Query hint:optimizer ""None"".
    VALUES ?author {wd:Q36322}
    { ?item wdt:P144*/wdt:P50 ?author }
    union { ?item wdt:P1877 ?author  }
    UNION { ?item wdt:P58 ?author }  
} } as %i
where
{
  include %i
  ?item wdt:P31/wdt:P279* wd:Q2431196 .
  }
";P144, P50, P1877, P58, P31, P279;"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
SELECT DISTINCT ?work ?workLabel WHERE {
  VALUES ?jane {
    wd:Q36322
  }
  ?work wdt:P31 ?class .
  ?class wdt:P279 * wd:Q2431196 .
  {
    ?work wdt:P941 ?jane .
  } UNION {
    ?work wdt:P144 ?source .
    ?source wdt:P50 ?jane .
  } UNION {
    ?work wdt:P50 ?jane .
  }
  OPTIONAL {
    ?work rdfs:label ?workLabel .
    FILTER ( LANG( ?workLabel ) = ""en"" )
  }
}
ORDER BY ?workLabel";P31, P279, P941, P144, P50;0;P144=based on, P50=author, P1877=after a work by, P58=screenwriter, P31=instance of, P279=subclass of, P941=inspired by;0.8;0.6666666666666666;0.7272727272727272;72.73;False;0.9583333333333334;DIFF_PROP_DIFF_RESULT
test_8;Which properties are used in claims related to items that are public elections? Include a count of the number of times it was used.;"SELECT ?property ?count
WITH
{
  SELECT DISTINCT ?item
  WHERE
  {
    ?item wdt:P31/wdt:P279* wd:Q40231 .
  }
} AS %get_items
WITH
{
  SELECT ?property (COUNT(*) as ?count)
  WHERE
  {
    INCLUDE %get_items
    ?item ?claim [] .
    ?property wikibase:claim ?claim .
  } 
  GROUP BY ?property
} AS %get_properties
WHERE
{
  INCLUDE %get_properties
}
ORDER BY DESC(?count)
";P31, P279;"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
SELECT ?prop ( COUNT( * ) AS ?count ) ?propLabel WHERE {
  ?item wdt:P31 wd:Q40231 .
  ?item ?prop ?value .
  FILTER ( STRSTARTS( STR( ?prop ) , ""http://www.wikidata.org/prop/direct/"" ) ) OPTIONAL {
    ?prop rdfs:label ?propLabel .
    FILTER ( LANG( ?propLabel ) = ""en"" )
  }
}
GROUP BY ?prop ?propLabel
ORDER BY DESC ( ?count )
LIMIT 500";P31;0;P31=instance of, P279=subclass of;1.0;0.5;0.6666666666666666;66.67;False;0.3428571428571428;DIFF_PROP_DIFF_RESULT
